"","brand","model","year","price","currency","type","fuel","condition","info"
"124","Toyota","Corolla Hybrido",2020,"38,000","US","sedan"," Híbrido "," Nuevo ","2020 - Híbrido - Nuevo - N/D Mi"
"125","Honda","Accord Touring",2020,"50,900","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"126","Hyundai","County",2020,"70,900","US","sedan"," Diesel "," Nuevo ","2020 - Diesel - Nuevo - N/D Km"
"127","Toyota","Corolla LE",2020,"22,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 8,000 Mi"
"128","Volvo","S60 R Desing",2020,"58,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 1,000 Km"
"129","Honda","Accord",2020,"26,000","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"130","Toyota","Corolla",2020,"22,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"131","Honda","Civic Sport",2020,"23,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 10,300 Mi"
"132","Tesla","Model 3 Standard Range Plus",2020,"57,000","US","sedan"," Electrico "," Usado ","2020 - Eléctrico - Usado - 11,635 Km"
"133","Porsche","Panamera GTS",2020,"175,000","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"134","Maserati","Ghibli SQ4",2020,"145,000","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"135","Honda","Accord Sport",2020,"34,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"136","Audi","A6",2020,"73,500","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"137","Toyota","Corolla LE",2020,"22,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 20,000 Mi"
"138","Honda","Accord Sport",2020,"28,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 12,000 Mi"
"139","Honda","Civic EX",2020,"1,399,000","RD","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"140","Honda","Civic",2020,"34,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 105,000 Km"
"141","Honda","Accord Sport",2020,"31,500","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"142","Chevrolet","Lumina LTZ",2020,"42,500","US","sedan"," Diesel "," Usado ","2020 - Diesel - Usado - N/D Mi"
"143","Honda","Civic LX",2020,"29,900","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Km"
"144","Honda","Civic Ex Turbo",2020,"27,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 5,443 Mi"
"145","Kia","Rio",2020,"19,400","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"146","Toyota","Corolla LE",2020,"23,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"147","Honda","Accord",2020,"39,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"148","Toyota","Corolla LE",2020,"23,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 23,000 Mi"
"149","Hyundai","Verna",2020,"17,900","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"150","Honda","Accord Sport",2020,"30,300","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 11,225 Mi"
"151","Toyota","Camry SE",2020,"35,000","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 8,000 Mi"
"152","Honda","Accord LX",2020,"24,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 4,796 Mi"
"153","Honda","Civic LX",2020,"29,900","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"154","Mercedes-Benz","Clase C 63 AMG",2020,"78,000","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 4,800 Mi"
"155","Nissan","Versa",2020,"675,000","RD","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 88,500 Km"
"156","Toyota","Corolla LE",2020,"24,000","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 18,000 Mi"
"157","Toyota","Corolla LE",2020,"27,600","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 27,000 Mi"
"158","Honda","Accord Touring",2020,"49,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"159","Volvo","S90 R Design",2020,"75,000","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Km"
"160","Honda","Civic Sport",2020,"21,800","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"161","BMW","Serie 3 330i",2020,"54,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"162","Toyota","Avalon TRD",2020,"55,000","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"163","Honda","Accord Sport",2020,"32,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"164","Toyota","Camry SE",2020,"34,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 15,413 Mi"
"165","MG","3",2020,"19,900","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"166","Audi","A6 40 TFSI S-line",2020,"73,500","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"167","Honda","Civic LX",2020,"26,000","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"168","Honda","Accord Sport",2020,"32,000","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"169","Honda","Accord LX",2020,"28,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"170","Toyota","Corolla",2020,"29,900","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"171","Honda","Civic LX",2020,"23,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 5,414 Mi"
"172","Toyota","Corolla LE",2020,"24,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 38,249 Mi"
"173","Honda","Civic LX",2020,"24,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"174","Honda","Accord",2020,"31,000","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"175","Chevrolet","Sonic LT",2020,"689,000","RD","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"176","Toyota","Corolla LE",2020,"23,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"177","Toyota","Avalon TRD",2020,"59,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 5,000 Mi"
"178","Hyundai","Verna",2020,"16,900","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Km"
"179","Mercedes-Benz","Clase A 35 AMG",2020,"59,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 8,548 Km"
"180","BMW","Serie 3 330i",2020,"51,500","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"181","Mercedes-Benz","Clase E 200",2020,"68,500","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"182","Hyundai","Sonata",2020,"24,000","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"183","Mercedes-Benz","Clase C 63 AMG",2020,"84,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 6,458 Km"
"184","Volvo","S90 R Design",2020,"75,000","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
